University_Name,Long,Lat
Harvard University,42.3770,-71.1167
Stanford University,37.4275,-122.1697
University of Oxford,51.7548,-1.2544
Massachusetts Institute of Technology,42.3601,-71.0942
University of Cambridge,52.2043,0.1149
"University of California, Berkeley",37.871853,-122.258423
Princeton University,40.3431,-74.6551
University of Chicago,41.7886,-87.5987
Yale University,41.3163,-72.9223
Imperial College London,51.4988,-0.1749
California Institute of Technology,34.1377,-118.1253
ETH Zurich â€“ Swiss Federal Institute of Technology,47.3764,8.5476
